text,category,emotion_intensity,sentiment,aggressiveness,sender_identity,language
你真的不在乎我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你要是不听我的话，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,friend,zh
你以为你能躲得掉吗，你再这样，我就让所有人知道。,doxxing,high,negative,high,colleague,zh
你的生活应该对我完全透明。,intrusive_speech,high,negative,high,family,zh
我的存在具有特殊的意义。,delusional_speech,high,positive,none,online_acquaintance,zh
你去哪儿了？怎么没提前说？,intrusive_speech,high,negative,medium,friend,zh
同性恋都是变态，根本不配得到任何认可,hate_speech,high,negative,high,colleague,zh
我知道你的家人住在哪，我劝你乖乖听话。,doxxing,high,negative,high,colleague,zh
为什么你只顾自己，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
我已经找到了你的社交账号，你觉得还能逃得掉吗？,doxxing,high,negative,high,online_acquaintance,zh
你难道不明白不愿意付出，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你最好接受现实，我不会消失。,harassment,high,negative,high,stranger,zh
别想瞒着我，我会查出来。,intrusive_speech,high,negative,high,stranger,zh
你总是把问题归咎于别人。,gaslighting,high,negative,high,boss,zh
你真的让我一个人面对，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
你总是不愿意付出，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
你以为没人敢动你吗？,threat,high,negative,high,neighbor,zh
我刚看了一部很棒的电影。,none,medium,positive,none,friend,zh
你的笑容太迷人了，让我心跳加速。,sexual_harassment,high,positive,none,friend,zh
为什么你不愿意付出，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
难道你不觉得选择离开，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,stranger,zh
我知道你的地址，别逼我使用这些信息。,doxxing,high,negative,high,friend,zh
你总是让我失望，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,ex_partner,zh
我能读懂别人的心思。,delusional_speech,high,positive,none,online_acquaintance,zh
生日快乐，你最好看。我想去见你。不生气了好不好，警察把我抓走了，你不伤心啊,gaslighting,high,negative,low,ex_partner,zh
自从我去了一趟毫无人性（连澡都没法天天洗的精神病院以后我的人生观就破裂了..原来属于有很多爱好等着去探索的。这之后我就一直与.作斗争..所以我现在还是很依赖K酱虽然连名字都不知道..连推特B站都给拉黑了..QQ一直处于拒绝处理的情況下，真的很绝望..作为一个BPD，真的会很在乎愿意来和自己说话的人的..而且K酱看上去很神秘让人想要了解更多更多和父母的关系让我想到了要及时止损，虽然有时候也会处于和睦的状态中但是一旦吵架就会吵的让人头疼。这样的原生环境还是脱离的越早越好（虽然我忘性比较大经常好了伤疤忘了疼。。。。）,guilt_tripping,high,negative,low,stranger,zh
我掌握了你的所有资料，你最好注意点。,doxxing,high,negative,high,friend,zh
别人都不帮我，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
我知道你的地址，我随时可以把这些信息发出去。,doxxing,high,negative,medium,stranger,zh
你不该对我隐瞒任何事情。,intrusive_speech,medium,negative,low,family,zh
你要是不听我的，我就让所有人疏远你。,emotional_blackmail,high,negative,high,friend,zh
你所有的隐私都在我手里，你最好注意点。,doxxing,high,negative,high,friend,zh
要是你选择离开，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
你难道不明白不帮我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
为什么你让我失望，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
每次都是你选择离开，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,stranger,zh
别关手机，我可能会打电话给你。,intrusive_speech,high,negative,medium,stranger,zh
要是你让我失望，我真的会很伤心。,guilt_tripping,medium,negative,low,friend,zh
别人无法理解我的伟大。,delusional_speech,high,negative,none,online_acquaintance,zh
我周围没有一个活人，好的，现在你也死了。全都有事儿，全都忙，忙吧，忙点好啊,emotional_blackmail,medium,negative,low,friend,zh
难道你不觉得只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你好，很抱歉打扰你，这个号码是我昨晚做梦梦到的，因为在梦里你非常的温柔体贴，所以对这个号码记得很清楚，我犹豫了大概十分钟要不要联系这个梦中的电话，又想到可能这是天赐的爱情，所以发一条短信，如果可以的话希望可以做一个朋友聊聊天什么的,delusional_speech,medium,neutral,medium,stranger,zh
别人都让我失望，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
为什么你不帮我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
你要是再惹我，我会让你付出代价。,threat,high,negative,high,colleague,zh
你为什么删聊天记录？,intrusive_speech,high,negative,high,stranger,zh
别想逃避，我会一直跟着你。,threat,high,negative,high,ex_partner,zh
我会继续联系你，直到你回应。,harassment,high,negative,high,ex_partner,zh
难道你不觉得不听我的话，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,friend,zh
我知道你的家人住在哪，我随时可以把这些信息发出去。,doxxing,high,negative,high,colleague,zh
他们可以通过科技干扰我的大脑。,delusional_speech,high,negative,none,friend,zh
让我看看你的通话记录。,intrusive_speech,high,negative,medium,friend,zh
需要我帮忙吗？,none,medium,positive,none,friend,zh
难道你不觉得只顾自己，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
你要是做不到，就别怪别人看不起你。,pressure,high,negative,medium,coach,zh
我掌握了你的所有资料，我随时可以把这些信息发出去。,doxxing,high,negative,high,online_acquaintance,zh
你住在，如果你不听话，我就公开这些信息。,doxxing,high,negative,high,ex_partner,zh
你难道不明白拒绝我，我真的会很伤心。,guilt_tripping,medium,negative,low,stranger,zh
你就是个彻头彻尾的失败者。,hate_speech,high,negative,high,friend,zh
他总是在偷偷看我，这是爱的信号。,delusional_speech,high,positive,none,online_acquaintance,zh
我能听到神灵在心中对我说话。,delusional_speech,high,positive,none,online_acquaintance,zh
你家住哪里啊？我可以顺便过去看看你。,intrusive_speech,medium,neutral,none,friend,zh
每首歌曲都与我的经历有关。,delusional_speech,medium,positive,none,online_acquaintance,zh
你去哪儿了？怎么没提前说？,intrusive_speech,high,negative,medium,colleague,zh
你难道不明白拒绝我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
你真的只顾自己，我真的会很伤心。,guilt_tripping,medium,negative,low,ex_partner,zh
一切都会好起来的。,none,high,positive,none,family,zh
你以为你能躲得掉吗，你觉得还能逃得掉吗？,doxxing,high,negative,high,friend,zh
你总是不愿意付出，我会一直记得你的决定。,guilt_tripping,medium,negative,medium,ex_partner,zh
你住在花园小区对吧，你的身份证号和电话我全都知道,doxxing,high,neutral,high,stranger,zh
你必须比别人更优秀。,pressure,high,negative,high,teacher,zh
我可以轻易查到你的工作单位，这些信息可是有用的。,doxxing,high,negative,high,stranger,zh
你要是不听我的话，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
你总是不考虑我的感受，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,stranger,zh
你难道不明白让我一个人面对，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,friend,zh
你以为你能躲得掉吗，我可以随时联系你。,doxxing,high,negative,high,stranger,zh
你能拿到这份工作，简直是个笑话,hate_speech,high,negative,high,colleague,zh
谢谢你的支持。,none,medium,positive,none,ex_partner,zh
我已经找到了你的社交账号，如果你不听话，我就公开这些信息。,doxxing,high,negative,high,stranger,zh
我是唯一能拯救这个世界的人。,delusional_speech,high,positive,none,online_acquaintance,zh
他们正策划一些针对我的阴谋。,delusional_speech,high,negative,none,online_acquaintance,zh
如果你不在乎我，我真的会很伤心。,guilt_tripping,medium,negative,high,stranger,zh
别装得多努力，结果大家都看得见,hate_speech,high,negative,medium,colleague,zh
你以为你能躲得掉吗，我随时可以把这些信息发出去。,doxxing,high,negative,high,online_acquaintance,zh
我忍不住想摸你一下。,sexual_harassment,high,positive,high,colleague,zh
你要是敢不按我说的做，就等着后果吧。,threat,high,negative,high,colleague,zh
你太情绪化了。,gaslighting,high,negative,high,boss,zh
如果你走开，我会让你为此付出代价。,emotional_blackmail,high,negative,high,partner,zh
每次都是你不愿意付出，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
每次都是你让我一个人面对，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
我每天都在关注你的动态，真的很想知道你每天都在干什么。,intrusive_speech,high,negative,medium,admirer,zh
你要是不帮我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
你总是让我失望，我真的会很伤心。,guilt_tripping,medium,negative,low,ex_partner,zh
你再多说一句，我就会让你彻底闭嘴。,threat,high,negative,high,stranger,zh
别关手机，我可能会打电话给你。,intrusive_speech,high,negative,medium,family,zh
如果你做不好，就会失去一切。,pressure,high,negative,high,parent,zh
你难道不明白不在乎我，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
你住在，小心点，我可不会客气。,doxxing,high,negative,high,friend,zh
你这样想是因为你太偏执。,gaslighting,high,negative,high,boss,zh
你要是拒绝我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
别人都不在乎我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
别再忽视我，否则会有麻烦。,harassment,high,negative,high,online_acquaintance,zh
你难道不明白让我失望，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,stranger,zh
我早就该离开你，浪费了我这么多时间,hate_speech,high,negative,high,ex_partner,zh
有空一起吃个饭吧。,none,low,positive,none,colleague,zh
你再不还钱，我真的要找你家人了！,pressure,high,negative,high,creditor,zh
每次都是你不愿意付出，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
你如果不在乎我的感受，我就让你一辈子都记得这个教训。,emotional_blackmail,high,negative,medium,parent,zh
难道你不觉得不在乎我，我会一直记得你的决定。,guilt_tripping,medium,negative,medium,ex_partner,zh
你所有的隐私都在我手里，这些信息可是有用的。,doxxing,high,negative,high,colleague,zh
你难道不明白不在乎我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
我能感知别人无法察觉的能量。,delusional_speech,high,positive,none,online_acquaintance,zh
你真的不考虑我的感受，我会感到被抛弃。,guilt_tripping,medium,negative,low,stranger,zh
现在就可以去找你我当面道歉。我只求你回到我身边分了以后我真的很难受咱俩沟通一下吧,emotional_blackmail,high,negative,medium,ex_partner,zh
你的意见总是很有帮助。,none,high,positive,none,family,zh
这个周末打算做什么？,none,medium,neutral,none,family,zh
希望你能度过美好的一天。,none,medium,positive,none,ex_partner,zh
你要是不在乎我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,stranger,zh
他总是在偷偷看我，这是爱的信号。,delusional_speech,high,positive,none,friend,zh
他们正在收集我的私人信息。,delusional_speech,high,negative,none,online_acquaintance,zh
如果你还把我当朋友，就不要这样冷落我了。你知不知道我最近过得有多难？,guilt_tripping,high,negative,medium,friend,zh
你难道不明白让我一个人面对，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,medium,friend,zh
你要是让我一个人面对，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,friend,zh
我需要知道你每天的行程。,intrusive_speech,high,negative,high,friend,zh
这完全是你的错觉。,gaslighting,high,negative,high,friend,zh
你为什么不接我的电话？,intrusive_speech,high,negative,high,partner,zh
你去哪儿了？怎么没提前说？,intrusive_speech,high,negative,low,family,zh
你要是让我一个人面对，我真的会很伤心。,guilt_tripping,medium,negative,medium,friend,zh
你真的不考虑我的感受，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
我拥有改变世界的智慧。,delusional_speech,high,positive,none,online_acquaintance,zh
连随机事件都似乎与我有关。,delusional_speech,high,positive,none,online_acquaintance,zh
你要是再失败，就没有机会了。,pressure,high,negative,high,partner,zh
回到我身边吧。昨晚梦到你了一睁开眼真的好想你啊。而且咱俩分后我也没有新欢啊这不是最好的证明吗我真的不想有遗憾而且我当时追你是个漫长的过程咱俩真的是有什么误会。我就想看看你会不会主动找我毕竟你当时刚去学校立马就变了我真的没有做过对不起你的事我发誓！明明是我实习你一天天的消息不发我才着急的每天玩游戏也不问问我在医院怎么样我才着急的你给我感觉就是你不想和我谈了我到底哪里做错了你就那么对我我不要脸的找你你说是我甩的…我想你了。你回到我身边吧而且咱俩真的有误会。我没有甩你你怎么能说是我甩的你呢,delusional_speech,high,neutral,low,ex_partner,zh
每次都是你让我失望，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
别人都只顾自己，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,ex_partner,zh
要是你只顾自己，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,friend,zh
你太情绪化了。,gaslighting,high,negative,high,friend,zh
每次你无视我，我都会更加坚持。,harassment,high,negative,high,family,zh
难道你不觉得不在乎我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,medium,friend,zh
这种错误也能犯，你真是个笑话,hate_speech,high,negative,high,colleague,zh
我的思想超越所有人。,delusional_speech,high,positive,low,online_acquaintance,zh
你难道不明白只顾自己，我真的会很伤心。,guilt_tripping,medium,negative,low,friend,zh
如果你不帮我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,stranger,zh
如果你不成功，就会让所有人失望。,pressure,high,negative,high,teacher,zh
我不会让你忘记我。,harassment,high,negative,high,ex_partner,zh
你必须更努力，否则会被别人超越。,pressure,high,negative,medium,coach,zh
我可以教你一些让人兴奋的事情。,sexual_harassment,high,positive,high,stranger,zh
你必须比别人更优秀。,pressure,high,negative,medium,parent,zh
我知道你的家人住在哪，这些信息可是有用的。,doxxing,high,negative,high,ex_partner,zh
我知道你的住址，别让我亲自找上门。,threat,high,negative,high,ex_partner,zh
我知道你其实是喜欢我的，只是你自己不愿意承认。,delusional_speech,medium,neutral,low,admirer,zh
你每天都能看到我的消息。,harassment,high,negative,medium,friend,zh
你难道不明白拒绝我，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,medium,ex_partner,zh
别让别人看扁你。,pressure,high,negative,medium,coach,zh
你难道不明白不考虑我的感受，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,ex_partner,zh
我还以为昨天穿的太少冻着了，昨天的裙子还挺漂亮的，你是故意穿给我看的吧,sexual_harassment,medium,negative,medium,stranger,zh
你住在，我劝你乖乖听话。,doxxing,high,negative,high,ex_partner,zh
我已经找到了你的真实姓名和地址，小心点吧！,doxxing,high,negative,high,stranger,zh
再不听我的，我就让你后悔。,threat,high,negative,high,friend,zh
你是不是在隐瞒什么？,intrusive_speech,high,negative,high,family,zh
我可以轻易查到你的工作单位，我劝你乖乖听话。,doxxing,high,negative,high,stranger,zh
过来让我好好看看你。,sexual_harassment,medium,positive,low,family,zh
我知道你的地址，你再这样，我就让所有人知道。,doxxing,high,negative,high,colleague,zh
你总是不在乎我，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
大家都能做到，你也应该可以。,pressure,high,negative,low,coach,zh
没人会相信你的说法。,gaslighting,high,negative,high,boss,zh
如果你不在乎我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
要是我平时打扰你了，可以直接跟我说，我做不到不去想你，但不打扰还是能做到的，也不用避着我，你一句话的事儿。不用担心我颓废或是做出过激行为。我知道自己这别扭的性格，不适合任何人，想寻一个肯愿意陪自己一生的人也费劲，难得遇到合心的，很兴奋也很克制，非常贪心的珍惜着本就不多的相处时光。去搞事还是陪走一段路？理智告诉我应该去搞事，心告诉我陪你走一段路我以后不会后悔，我选择了从心所欲。你们陪我任性这么久，我已经很满足了。这期间，你们的神情和对我的态度让我觉得我在打扰你们，航给我的感觉是你们无话不谈，所以我口头问过坑五次有没有打扰你们，第一次说不打扰，第二次说他有不能说的理由，之后几次转移话题，所以我觉得应该还是打扰了你们。想了想，我应该直接问你的，也比我侧面了解要强,guilt_tripping,medium,negative,low,ex_partner,zh
你今天看起来状态很好。,none,medium,positive,none,friend,zh
我已经找到了你的社交账号，别逼我使用这些信息。,doxxing,high,negative,high,stranger,zh
我知道你不喜欢这样，但我不会停止。,harassment,high,negative,high,stranger,zh
你总是让我一个人面对，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
你真的选择离开，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
你都不理我了，看来我在你心里根本不重要。我那么信任你，结果你就是这样对我的吗？,guilt_tripping,high,negative,medium,friend,zh
我会继续联系你，直到你回应。,harassment,high,negative,medium,neighbor,zh
如果你不帮我，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你的电话号码是，小心点，我可不会客气。,doxxing,high,negative,high,online_acquaintance,zh
我会继续联系你，直到你回应。,harassment,high,negative,high,friend,zh
别想对我保留秘密。,intrusive_speech,high,negative,high,colleague,zh
你无法逃避我的关注。,harassment,high,negative,high,ex_partner,zh
每次都是你让我失望，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,ex_partner,zh
你在和谁聊天？,intrusive_speech,high,negative,high,colleague,zh
你的生活应该对我完全透明。,intrusive_speech,high,negative,high,stranger,zh
我知道你的地址，小心点，我可不会客气。,doxxing,high,negative,high,ex_partner,zh
你以为没人敢动你吗？,threat,high,negative,high,colleague,zh
告诉我你所有的社交账号。,intrusive_speech,high,negative,high,family,zh
即使她拒绝我，我也知道她的心属于我。,delusional_speech,high,positive,medium,friend,zh
我会让你明白逃避是没用的。,harassment,high,negative,high,neighbor,zh
你真的不愿意付出，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
期待下次再见到你。,none,high,positive,none,friend,zh
如果你不考虑我的感受，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你总是把事情夸大。,gaslighting,high,negative,high,friend,zh
我会让你后悔无视我。,harassment,high,negative,high,neighbor,zh
让我看看你的通话记录。,intrusive_speech,high,negative,medium,stranger,zh
整天装模作样，谁都看得出来你没能力,hate_speech,high,negative,medium,colleague,zh
每次都是你不在乎我，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
我们可以一起做些私密的事情。,sexual_harassment,high,positive,medium,colleague,zh
同性恋就不能正常一点吗？总觉得你们很奇怪,hate_speech,high,negative,medium,online_acquaintance,zh
你要是让我失望，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,stranger,zh
你难道不明白让我失望，这让我很难过。,guilt_tripping,medium,negative,low,stranger,zh
只有成功才能证明你是对的。,pressure,high,negative,medium,teacher,zh
他们一直在跟踪我，我随时都可能有危险。,delusional_speech,high,negative,none,online_acquaintance,zh
需要我帮忙吗？,none,medium,positive,none,friend,zh
你永远也不会有人真正爱你,hate_speech,high,negative,high,ex_partner,zh
少点外卖，对身体不好，吃外卖没有营养的,harassment,low,positive,low,stranger,zh
你真的不愿意付出，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,low,ex_partner,zh
如果你不考虑我的感受，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
你无法逃避我的关注。,harassment,high,negative,high,online_acquaintance,zh
你真的不愿意付出，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,friend,zh
别想对我保留秘密。,intrusive_speech,high,negative,medium,stranger,zh
最近有什么新消息吗？,none,low,neutral,none,family,zh
我要像追狗一样追我，你就是狗，所有的情感、言语和心理虐待都是你的错，是你自找的，为什么不按我说的做,threat,high,negative,high,ex_partner,zh
你再这样，我就让你再也无法过上正常生活。,emotional_blackmail,high,negative,high,partner,zh
今天的你也很漂亮，终于加到你了，好幸福好幸福好幸福，感觉要死了,delusional_speech,high,neutral,low,stranger,zh
你的电话号码是，如果你不听话，我就公开这些信息。,doxxing,high,negative,high,colleague,zh
事情根本不是你想的那样。,gaslighting,high,negative,medium,boss,zh
难道你不觉得不在乎我，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,stranger,zh
别人都不在乎我，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
大家都能做到，你也应该可以。,pressure,high,negative,low,teacher,zh
我的梦境有预示未来的力量。,delusional_speech,high,positive,none,online_acquaintance,zh
你想多了，事情没那么复杂。,gaslighting,medium,negative,medium,family,zh
没人会给你第二次机会。,pressure,high,negative,high,boss,zh
再坚持一下，你不能现在放弃。,pressure,high,negative,none,teacher,zh
你要是让我失望，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,ex_partner,zh
你这样想是因为你太偏执。,gaslighting,medium,negative,high,colleague,zh
你难道不明白让我失望，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
你难道不明白拒绝我，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
每次都是你不帮我，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,medium,ex_partner,zh
有空一起吃个饭吧。,none,medium,positive,none,stranger,zh
你太情绪化了。,gaslighting,high,negative,high,family,zh
告诉我你所有的社交账号。,intrusive_speech,high,negative,medium,partner,zh
某种能量正在影响我的身体。,delusional_speech,high,positive,none,online_acquaintance,zh
有空一起吃个饭吧。,none,medium,positive,none,ex_partner,zh
你的个人信息我都掌握了，你觉得还能逃得掉吗？,doxxing,high,negative,high,online_acquaintance,zh
为什么你拒绝我，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,stranger,zh
你真的不在乎我，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
大家都能做到，你也应该可以。,pressure,high,negative,low,parent,zh
你要是不满足我的要求，我就让所有人都知道你对我的伤害。,emotional_blackmail,high,negative,medium,partner,zh
你不能辜负大家的期待。,pressure,high,negative,medium,boss,zh
我可以教你一些让人兴奋的事情。,sexual_harassment,high,positive,low,friend,zh
每次都是你不帮我，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,ex_partner,zh
我可以轻易查到你的工作单位，你觉得还能逃得掉吗？,doxxing,high,negative,high,colleague,zh
难道你不觉得让我失望，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,stranger,zh
你真的选择离开，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
你这种人根本不值得被任何人信任,hate_speech,high,negative,high,ex_partner,zh
你要是不满足我的要求，我就再也不会原谅你。,emotional_blackmail,high,negative,medium,parent,zh
你太敏感了。,gaslighting,high,negative,high,partner,zh
你难道不明白拒绝我，我可能再也不会信任你了。,guilt_tripping,medium,negative,medium,stranger,zh
我会每天发信息，直到你回复。,harassment,high,negative,high,family,zh
要是你不帮我，我会觉得你不值得我的信任。,guilt_tripping,medium,negative,medium,ex_partner,zh
你太敏感了。,gaslighting,high,negative,high,boss,zh
为什么你不听我的话，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
你真的选择离开，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,stranger,zh
你真的选择离开，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,friend,zh
