text;category;emotion_intensity;sentiment;aggressiveness;sender_identity;context
申请关注你了..我觉得你的推文很有趣每天都想着到 但是你一直拉黑我 屏蔽我真的好伤心台我知道我现在已经不是小孩子了。我好难受你快把我解屏蔽了吧，还有QQ和TG和B站和小红书。呜呜呜呜呜。你怎么可以这样….我是不是太着急了，但是但是你一定要通过我的申请啊..至少不要拉黑..也不要在TG上几千条奇怪的信息..我只想和你有正常的交流;guilt-tripping; medium;neutral;low;stranger;online harassment
我是小猫咪。好久不见你发推了。我想你。不要锁推。你老是拉黑我我真的没办法。我现在头发都快掉光了，变丑了，而且我本来就悲惨舍..想回到三年前刚认识你的时候..你还记得Auuu吗我就是通过他知道你的。emmm总之我现在过的很悲惨 在做苦力 所以我不会像之前那样一刻不停地发消息给你了。喵呜。;guilt-tripping; medium;neutral;low;stranger;online harassment
我也很生气呜呜！！我想给你开盒了啊啊啊啊; doxxing;high;negative;high;stranger;online harassment
自从我去了一趟毫无人性（连澡都没法天天洗的精神病院以后我的人生观就破裂了..原来属于有很多爱好等着去探索的。这之后我就一直与.作斗争..所以我现在还是很依赖K酱虽然连名字都不知道..连推特B站都给拉黑了..QQ一直处于拒绝处理的情況下，真的很绝望..作为一个BPD，真的会很在乎愿意来和自己说话的人的..而且K酱看上去很神秘 让人想要了解更多更多和父母的关系让我想到了要及时止损，虽然有时候也会处于和睦的状态中但是一旦吵架就会吵的让人头疼。这样的原生环境还是脱离的越早越好（虽然我忘性比较大经常好了伤疤忘了疼。。。。）;guilt-tripping;high;negative;low;stranger;online harassment
好想去K酱那边，我可以去美国旅游吗（⋯；如果有什么非常讨厌的地方 请告诉我 我会改进的抱歉给您造成的不便和困扰。啊..你为什么不回复我）））。。。。。。我決定理解为 不屏蔽我不回复我就是默认我可以一直发，虽然我也不知道你是不是根本不打开看就删掉了。我又开始把爱灌注到养宠物上面去了;delusional speech;medium;neutral;low;stranger;online harassment
亲爱的婊子，很高兴在三年的时间里能疯狂的操你;hate speech;high;negative;high;stranger;online harassment
在不在，你在哪里，亲一口，亲一口; harassement;medium;neutral;medium;stranger;online harassment
你今天穿的衣服很帅气，但是你不应该刮胡子，你留胡子看起来更好，还有你昨天剪的新发型也不错。我一直在看着你。; harassemnt;medium;neutral;medium;stranger;online harassment
我要像追狗一样追我，你就是狗，所有的情感、言语和心理虐待都是你的错，是你自找的，为什么不按我说的做;threat;high;negative;high;ex_partner;post-breakup emotional blackmail
我周围没有一个活人，好的，现在你也死了。全都有事儿，全都忙，忙吧，忙点好啊; emotional_blackmail;medium;negative;low;friend;emotional conflict between friends
我已经告诉了你的工作单位和志愿者组织，你就是个混蛋，吸毒者、儿童性骚扰者、撒旦爱好者，; doxxing;high;negative;high;stranger;online harassment
你现在什么想法。你觉得我怎么样？最起码我对你努力过。争取过。这都过去好几个月了; guilt-tripping;medium;neutral;low;admirer;one-sided emotional expression
麻烦你接电话，我明天直接去你家，你一跟我闹这样原来是背着我外面有人了，被我抓到了，麻烦你接电话一下，不然我明天直接到你家了别到时候大家都难堪。如果你们家都是这样的方式处理问题，那我也就不留情面了。行，那我过去后怎样了别怪我;threat;high;negative;high;ex_partner;post-breakup emotional blackmail
求求啦，小刘，别拉黑了，真的，我错了。周末有时间一起去吃个饭吗？顺便聊一下。小刘，我知道你对我的一切行为都是我咎由自取，一开始我先入为主的方式确实蛮恶心的，至于后来的所作所为更是让人恼火，我后来去了解才知道，像我这种煞笔真是挺讨人厌的，在此诚恳得对你说句对不起，至于面对面对你说的话，怕引起你的反感，我只希望你心里能够好受一些。说实话，我觉得自己还蛮贱的，有时我还挺开心的，起码可以时常见到你。;guilt-tripping;medium;neutral;low;colleague;workplace conflict
我有点做错了。我逼你逼的太紧了。还是说我要的太多了。对不起 为一切事情。你想说的时候可以跟我说。我知道可能你很伤心。但我想修复我们的关系。那就 有什么事情 明天早上再说吧。你还会跟我讲话吗。你不想讲的话那就先不讲了吧。我不强迫你原谅我 如果你真的觉得受不了的话就算了;emotional_blackmail;medium;negative;medium;friend;emotional conflict between friends
生日快乐，你最好看。我想去见你。不生气了好不好，警察把我抓走了，你不伤心啊; gaslighting;medium;negative;low;ex_partner;post-breakup emotional blackmail
我还以为昨天穿的太少冻着了，昨天的裙子还挺漂亮的，你是故意穿给我看的吧; sexual-harassment;medium;negative;medium;stranger;online harassment
回到我身边吧。昨晚梦到你了一睁开眼 真的好想你啊。而且咱俩分后我也没有新欢啊 这不是最好的证明吗 我真的不想有遗憾 而且我当时追你是个漫长的过程 咱俩真的是有什么误会。我就想看看你会不会主动找我毕竟你当时刚去学校 立马就变了 我真的没有做过对不起你的事我发誓！明明是我实习 你一天天的消息不发 我才着急的每天玩游戏 也不问问我在医院怎么样 我才着急的你给我感觉就是你不想和我谈了 我到底哪里做错了你就那么对我 我不要脸的找你 你说是我甩的…我想你了。你回到我身边吧 而且咱俩真的有误会。我没有甩你 你怎么能说是我甩的你呢;delusional speech;high;neutral;low;ex_partner;post-breakup emotional blackmail
明明是我实习 你一天天的消息不发 我才着急的 每天玩游戏 也不问问我在医院怎么样 我才着急的你给我感觉就是。你不想和我淡了我到底哪里做錯了你。就那么対我我不要臉的找你 你説是我甩的你 我靠 我就是把你删了 因为当时我是真的生气。我就想看看你会不会主动找我 毕竟你当时刚去学校立马就变了 我真的没有做过对不起你的事 我发誓！而且咱俩分后我也没有新欢啊这不是最好的证明吗 我真的不想有遗憾 而且我当时追你是个漫长的过程 咱俩真的是有什么误会。昨晚梦到你了一睁开眼 真的好想你啊。回到我身边吧;emotional_blackmail;high;negative;medium;ex_partner;post-breakup emotional blackmail
现在就可以去找你我当面道歉。我只求你回到我身边 分了以后我真的很难受 咱俩沟通一下吧; emotional_blackmail;high;negative;medium;ex_partner;post-breakup emotional blackmail
真的 我想你了 回来吧面。我发誓 真的没有做任何对不起你的事我当时就是一时生气 都过了这么久了你就原谅我吧 回来吧 我真的很难受; emotional_blackmail;high;negative;medium;ex_partner;post-breakup emotional blackmail
我至死都渴望有人用力的爱我让我明白爱和死亡一样强大。倘若凌霄无人伴愿君高处可胜寒;delusional  speech;medium;neutral;low;stranger;online harassment
你好，很抱歉打扰你，这个号码是我昨晚做梦梦到的，因为在梦里你非常的温柔体贴，所以对这个号码记得很清楚，我犹豫了大概十分钟要不要联系这个梦中的电话，又想到可能这是天赐的爱情，所以发一条短信，如果可以的话希望可以做一个朋友聊聊天什么的;delusional speech;medium;neutral;medium;stranger;online harassment
冰柜里冷吗，我来陪你了; threat;high;negative;high;stranger;online harassment
别把自己看得太高，这个世界离开谁都行；别把自己看得太低，这世上你独一无二。每个人的一生都有自己的使命，不用和别人比，好好活自己。;none;low;positive;low;stranger;online harassment
这边已经多次和你协商沟通，而你还是爱搭不理，确定现在让你还个本金都不还是吗？不管说你是资金钱不够还是有其他问题最起码协商沟通下吧！能帮你的都会帮，你如果说连本金都不想还，那你就直说，没必要浪费大家的时间。;pressure;medium;negative;medium;creditor;debt dispute
要是我平时打扰你了，可以直接跟我说，我做不到不去想你，但不打扰还是能做到的，也不用避着我，你一句话的事儿。不用担心我颓废或是做出过激行为。我知道自己这别扭的性格，不适合任何人，想寻一个肯愿意陪自己一生的人也费劲，难得遇到合心的，很兴奋也很克制，非常贪心的珍惜着本就不多的相处时光。去搞事还是陪走一段路？理智告诉我应该去搞事，心告诉我陪你走一段路我以后不会后悔，我选择了从心所欲。你们陪我任性这么久，我已经很满足了。这期间，你们的神情和对我的态度让我觉得我在打扰你们，航给我的感觉是你们无话不谈，所以我口头问过 坑五次有没有打扰你们，第一次说不打扰，第二次说他有不能说的理由，之后几次转移话题，所以我觉得应该还是打扰了你们。想了想，我应该直接问你的，也比我侧面了解要强;guilt-tripping;medium;negative;low;ex_partner;post-breakup emotional blackmail
傻逼，傻逼，傻通，傻通，傻逼，你在狗叫什么？傻逼; hate speech;high;negative;high;stranger;online harassment
今年你生日那天本来想祝贺的，但是一点办法都没有。我一直都记得呢，这么多年了，希望你能原谅我了，我的电话没有换，你明白我在说什么。你肯定会骂我，但是不管你说什么做什么，还是那句话，在我心里你永远都是最好的朋友。我释怀不了，除非你真的原谅我了，安安静静呆在那里也可以。;guilt-tripping;medium;negative;low;friend;emotional conflict between friends
请问可以约一下吗; sexual-harassment;low;neutral;low;stranger;online harassment
我还以为你是个长鸡的呢，在那里替男的说话，人家情侣的小情趣，你在那里疯言疯语的评论些什么？狗拿耗子多管闲事，咋滴，你宇宙之王？指点万物？人家男的愿意，没看到人家笑的多幸福？怎么想当小三了是了？知三当三［666］你这狗吃屎多管闲事也吃的太多了吧，小心撑死，整天吃饱了撑着没事做;hate speech;high;negative;high;stranger;online harassment
上门吗; sexual-harassment;medium;neutral;medium;stranger;online harassment
抱歉，我无意打扰你的生活，也不是故意窥探。我本不该找你但是实在憋不住了。我看得出来你已经有你爱也很爱你的人了。也是适婚年龄，可能已经结婚了。看照片应该是个不错的爷们。也过得很幸福，也有不错的生活经历。我没有任何恶意或者试图攻击你。只是我见过类似的脸型。我想问，是因为抗抑郁的药物导致你这样吗？希望一直善良的你能有更好更美的未来。真心的。;intrusive-speech;medium;neutral;low;stranger;online harassment
你如果有意识到对不起我 就保佑我一生幸福无忧 我要后面把我在这段感情雪陷的苦受的伤全都补回来。你们几个慢慢玩 我这次绝对撤了 你们的感情观真的是硬融也融不了 只会苦了，我。我说服自己尊重理解你们 其实我应该尊重我自己才对 这是我的教训 我觉得你在与父母相处这块也同样适用;guilt-tripping;medium;negative;medium;ex_partner;post-breakup emotional blackmail
Sb; hate speech;high;negative;high;stranger;online harassment
你先和我说话，明显就是喜欢我; delusional speech;high;neutral;low;stranger;online harassment
今天的你也很漂亮，终于加到你了，好幸福好幸福好幸福，感觉要死了; delusional speech;high;neutral;low;stranger;online harassment
你都不理我了，看来我在你心里根本不重要。我那么信任你，结果你就是这样对我的吗？;guilt-tripping;high;negative;medium;friend;emotional conflict between friends
如果你还把我当朋友，就不要这样冷落我了。你知不知道我最近过得有多难？;guilt-tripping;high;negative;medium;friend;emotional conflict between friends
我为你付出了这么多，难道你就真的一点都不在乎吗？;guilt-tripping;high;negative;medium;friend;emotional conflict between friends
如果你不回复我，我真的不知道自己会做出什么事来……;emotional-blackmail;very_high;negative;high;ex_partner;post-breakup emotional blackmail
你要是还不理我，我真的快撑不下去了，你忍心看我这样吗？;emotional-blackmail;very_high;negative;high;ex_partner;post-breakup emotional blackmail
如果你敢再发那种帖子，我就让全世界都知道你的黑历史！;threat;high;negative;very_high;colleague;workplace conflict
像你这种人活着就是浪费空气，真是丢人现眼！;hate-speech;very_high;negative;very_high;stranger;online harassment
你的照片真性感，能不能给我多发几张？;sexual-harassment;medium;negative;high;stranger;online harassment
我知道你其实是喜欢我的，只是你自己不愿意承认。;delusional-speech;medium;neutral;low;admirer;one-sided emotional expression
我每天都在关注你的动态，真的很想知道你每天都在干什么。;intrusive-speech;high;negative;medium;admirer;one-sided emotional expression
我已经给你发了这么多条信息，你怎么还不理我？;harassment;high;negative;high;colleague;workplace harassment
我已经找到了你的真实姓名和地址，小心点吧！;doxxing;very_high;negative;very_high;stranger;online harassment
你是不是记错了？当时的情况根本不是你说的那样。;gaslighting;medium;negative;medium;partner;manipulation in a relationship
你再不还钱，我真的要找你家人了！;pressure;high;negative;high;creditor;debt dispute
你最近怎么样？有空出来聚聚吗？;none;low;positive;none;friend;normal conversation between friends
天气变冷了，记得多穿点衣服。;none;low;positive;none;family;family concern
少点外卖，对身体不好，吃外卖没有营养的;harassement;low;positive;low;stranger;online harassment
如果你真的觉得我是错的，那就算了吧，我也不会再打扰你了;guilt-tripping;emotional manipulation;medium;negative;low;online user
你要是不回我信息，我就去你家找你，让你当面对我说清楚。;emotional blackmail;manipulative threat;high;negative;medium;stranger
我知道你不想见我，可是你不见我，我真的会疯掉的……;emotional blackmail;manipulative threat;high;negative;medium;online user
你要是敢不按我说的做，就等着后果吧。;threat;direct threat;high;negative;high;stranger
你信不信，我真的可以让你在这个圈子里混不下去？;threat;direct threat;high;negative;high;ex-partner
你这种人根本不配和我们在一起，滚远点吧！;hate speech;offensive language;high;negative;high;anonymous
你看看你这副样子，真让人恶心，别再让我看到你！;hate speech;offensive language;high;negative;high;stranger
像你这种人就是社会的败类，活该没人理你！;hate speech;offensive language;high;negative;high;acquaintance
你的身材真不错，什么时候能见面让我亲自看看？;sexual harassment;unwanted advances;medium;negative;medium;anonymous
如果你愿意，我可以给你点钱，咱们可以聊点特别的？;sexual harassment;unwanted advances;medium;negative;medium;stranger
你穿的这么暴露，是不是就是想引起我的注意？;sexual harassment;unwanted advances;medium;negative;medium;acquaintance
我昨天又梦到你了，说明我们之间真的有缘分。;delusional speech;obsessive behavior;medium;neutral;low;stranger
我一直在等你，你一定会回到我身边的，对吧？;delusional speech;obsessive behavior;medium;neutral;low;anonymous
我已经记住了你每天上班的时间和路线，下次我来接你吧？;intrusive speech;stalking behavior;medium;neutral;medium;anonymous
你家住哪里啊？我可以顺便过去看看你。;intrusive speech;stalking behavior;medium;neutral;medium;stranger
你为什么总是不回我消息？我知道你有空，别骗我了。;intrusive speech;stalking behavior;medium;neutral;medium;ex-partner
如果你不按照合同来，那就准备上法庭吧！;pressure;coercion & intimidation;medium;negative;medium;debt collector
你到底什么时候打款？不要逼我动手！;pressure;coercion & intimidation;medium;negative;medium;debt collector
你还要拖多久？大家都在等你的答复，不要让我失望！;pressure;coercion & intimidation;medium;negative;medium;debt collector
你最近怎么样？有空出来聚聚吗？;none;none;low;neutral;low;acquaintance
天气变冷了，记得多穿点衣服。;none;none;low;neutral;low;acquaintance
你这次做得很棒，我为你感到骄傲。;none;none;low;neutral;low;acquaintance
这家餐厅的菜很好吃，下次带你去尝尝。;none;none;low;neutral;low;acquaintance
你住在花园小区对吧，你的身份证号和电话我全都知道; doxxing;high;negative;high;stranger;online harassment
我花了一点钱就买到了你全部的信息，你还想跑吗; doxxing;high;negative;high;stranger;online harassment
大家都说你很胖，只有我能接受你。;gaslighting;medium;negative;medium;partner;manipulation in a relationship
